record_id,DOI,data_source,Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2,m1_**,m1_Ag,m1_Bi,m1_Co,m1_Cr,m1_Dy,m1_Fe,m1_Ir,m1_La,m1_Mn,m1_Mo,m1_Ni,m1_Pd,m1_Ru,m1_Se,m1_Sn,m1_Te,m1_Ti,m2_**,m2_Bi,m2_Ce,m2_Co,m2_Cu,m2_Fe,m2_In,m2_La,m2_Mn,m2_Mo,m2_Ni,m2_Pd,m2_Pt,m2_Ru,m2_Sn,m2_V,Y1,Y2
R0011,https://doi.org/10.1016/j.cej.2020.124294,50,55.845,0.0,30.974,115.0,0.0,107.0,194.0,0.0,180.0,7.11,0.0,17.0,15.0,0.0,72.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1011.8,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,2.19,0.0,0.0,2.01,0.0,0.0,0.0,13.14,0.0,0.0,-1.45,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,80
R0012,https://doi.org/10.1016/j.cej.2021.128403,53,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.97,320
R0013,https://doi.org/10.1016/j.jelechem.2020.114124,58,58.693,55.845,30.974,115.0,115.0,107.0,163.0,194.0,180.0,6.59,7.11,17.0,112.0,15.0,72.0,8.0,6.0,3.0,2.0,7.0,10.0,8.0,5.0,2.0,9.0,737.1,762.5,1011.8,-25.4,14400000.0,10000000.0,91.4,80.4,1.91,1.83,2.19,0.08,1.87,2.05,2.01,1.976666667,14.64,17.52,16.08,1840.0,-1.4,-1.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.25,90
R0014,https://doi.org/10.1016/j.jechem.2020.07.053,61,47.867,0.0,12.011,136.0,0.0,76.0,187.0,0.0,170.0,10.64,0.0,5.29,7.6,0.0,121.8,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,658.8,0.0,1086.5,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,2.55,0.0,0.0,2.045,0.0,0.0,0.0,5.1,0.0,0.0,-2.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,30
R0015,https://doi.org/10.1016/j.flatc.2020.100221,65,95.95,58.933,30.974,139.0,116.0,107.0,209.0,192.0,180.0,9.38,6.71,17.0,72.0,63.0,72.0,5.0,7.0,3.0,-2.0,6.0,6.0,9.0,5.0,-3.0,7.5,684.3,760.4,1011.8,-76.1,18700000.0,17200000.0,138.0,100.0,2.16,1.88,2.19,0.28,2.02,2.175,2.035,2.076666667,9.4,10.95,10.175,1275.0,-1.6,-1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.25,80
R0016,https://doi.org/10.1016/j.jallcom.2020.157945,68,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.012,280
R0017,https://doi.org/10.1016/j.jallcom.2020.154054,70,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.82,330
R0018,https://doi.org/10.1016/j.jpowsour.2020.228362,71,138.91,58.693,15.999,169.0,115.0,73.0,240.0,163.0,152.0,22.6,6.59,14.0,48.0,112.0,141.0,1.0,8.0,4.0,-7.0,4.5,3.0,10.0,6.0,-7.0,6.5,538.1,737.1,1313.9,-199.0,1340000.0,14400000.0,13.4,91.4,1.1,1.91,3.44,-0.81,1.505,2.27,2.675,2.15,1.91,3.44,2.675,284.0,0.0,-1.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.35,137
R0019,https://doi.org/10.1016/j.jallcom.2020.157656,73,58.933,0.0,32.06,116.0,0.0,102.0,192.0,0.0,180.0,6.71,0.0,15.5,63.0,0.0,200.4,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,999.6,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.58,0.0,0.0,2.23,0.0,0.0,0.0,18.06,0.0,0.0,-1.3,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,45
R0020,https://doi.org/10.1002/aenm.202100110,82,58.933,55.845,15.999,116.0,115.0,73.0,192.0,194.0,152.0,6.71,7.11,14.0,63.0,15.0,141.0,7.0,6.0,4.0,1.0,6.5,9.0,8.0,6.0,1.0,8.5,760.4,762.5,1313.9,-2.1,17200000.0,10000000.0,100.0,80.4,1.88,1.83,3.44,0.05,1.855,2.66,2.635,2.383333333,12.81,24.08,18.445,1890.0,-1.3,-1.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.95,150
R0021,https://doi.org/10.1002/anie.202110116,88,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.4,55
R0022,https://doi.org/10.1002/anie.202110116,88,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.3,103
R0023,https://doi.org/10.1021/acs.jpcc.1c05456,91,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,306
R0024,https://doi.org/10.1021/acs.jpcc.1c05456,91,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,85
R0025,https://doi.org/10.1021/acs.jpcc.1c05456,91,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,169
R0026,https://doi.org/10.1039/d0cc05980c,102,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,150
R0027,https://doi.org/10.1039/d0nr00866d,104,162.5,0.0,15.999,192.0,0.0,73.0,231.0,0.0,152.0,19.01,0.0,14.0,33.9,0.0,141.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,573.0,0.0,1313.9,0.0,1100000.0,0.0,10.7,0.0,1.22,0.0,3.44,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,76
R0028,https://doi.org/10.1039/d0ta09195b,113,58.933,63.55,15.999,116.0,132.0,73.0,192.0,140.0,152.0,6.71,7.11,14.0,63.0,118.4,141.0,7.0,10.0,4.0,-3.0,8.5,9.0,11.0,6.0,-2.0,10.0,760.4,745.5,1313.9,14.9,17200000.0,59600000.0,100.0,401.0,1.88,1.9,3.44,-0.02,1.89,2.66,2.67,2.406666667,13.3,24.08,18.69,1736.0,-1.3,-2.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05,107
R0029,https://doi.org/10.1039/d1ta00538c,118,101.07,0.0,14.007,126.0,0.0,75.0,207.0,0.0,155.0,8.3,0.0,17.3,101.3,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,710.2,0.0,1402.3,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.04,0.0,0.0,2.62,0.0,0.0,0.0,21.28,0.0,0.0,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,200
R0030,https://doi.org/10.1039/d1ta04830a,120,192.217,58.933,14.007,141.0,116.0,75.0,202.0,192.0,155.0,8.52,6.71,17.3,151.0,63.0,-7.0,7.0,7.0,3.0,0.0,7.0,9.0,9.0,5.0,0.0,9.0,880.0,760.4,1402.3,119.6,21300000.0,17200000.0,147.0,100.0,2.2,1.88,3.04,0.32,2.04,2.62,2.46,2.373333333,13.16,21.28,17.22,1799.0,-2.5,-1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.05,320
R0031,https://doi.org/10.1002/ente.201901257,123,47.867,0.0,15.999,136.0,0.0,73.0,187.0,0.0,152.0,10.64,0.0,14.0,7.6,0.0,141.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,658.8,0.0,1313.9,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,3.44,0.0,0.0,2.49,0.0,0.0,0.0,6.88,0.0,0.0,-2.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,75
R0032,https://doi.org/10.1002/ente.201901257,123,47.867,0.0,15.999,136.0,0.0,73.0,187.0,0.0,152.0,10.64,0.0,14.0,7.6,0.0,141.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,658.8,0.0,1313.9,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,3.44,0.0,0.0,2.49,0.0,0.0,0.0,6.88,0.0,0.0,-2.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,40
R0033,https://doi.org/10.1021/acsaem.0c01691,126,138.91,54.938,15.999,169.0,139.0,73.0,240.0,197.0,152.0,22.6,7.39,14.0,48.0,50.0,141.0,1.0,5.0,4.0,-4.0,3.0,3.0,7.0,6.0,-4.0,5.0,538.1,717.3,1313.9,-179.2,1340000.0,695000.0,13.4,7.81,1.1,1.55,3.44,-0.45,1.325,2.27,2.495,2.03,1.55,3.44,2.495,308.0,0.0,-1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.35,95
R0034,https://doi.org/10.1021/acsnano.9b09646,132,58.693,0.0,32.06,115.0,0.0,102.0,163.0,0.0,180.0,6.59,0.0,15.5,112.0,0.0,200.4,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,999.6,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,2.58,0.0,0.0,2.245,0.0,0.0,0.0,20.64,0.0,0.0,-1.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,132
R0035,https://doi.org/10.1021/acsami.0c02087,136,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.15,300
R0036,https://doi.org/10.1002/er.7342,137,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,68
R0037,https://doi.org/10.1002/er.6806,138,107.87,54.938,15.999,153.0,139.0,73.0,172.0,197.0,152.0,10.28,7.39,14.0,125.0,50.0,141.0,10.0,5.0,4.0,5.0,7.5,11.0,7.0,6.0,4.0,9.0,731.0,717.3,1313.9,13.7,63000000.0,695000.0,429.0,7.81,1.93,1.55,3.44,0.38,1.74,2.685,2.495,2.306666667,15.5,34.4,24.95,2920.0,-3.5,-1.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,15
R0038,https://doi.org/10.1021/acsami.1c08720,150,58.933,101.07,15.999,116.0,126.0,73.0,192.0,207.0,152.0,6.71,8.3,14.0,63.0,101.3,141.0,7.0,7.0,4.0,0.0,7.0,9.0,8.0,6.0,1.0,8.5,760.4,710.2,1313.9,50.2,17200000.0,13700000.0,100.0,117.0,1.88,2.2,3.44,-0.32,2.04,2.66,2.82,2.506666667,15.4,24.08,19.74,1967.0,-1.3,-1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.84,100
R0039,https://doi.org/10.1021/acsami.9b21904,151,138.91,54.938,15.999,169.0,139.0,73.0,240.0,197.0,152.0,22.6,7.39,14.0,48.0,50.0,141.0,1.0,5.0,4.0,-4.0,3.0,3.0,7.0,6.0,-4.0,5.0,538.1,717.3,1313.9,-179.2,1340000.0,695000.0,13.4,7.81,1.1,1.55,3.44,-0.45,1.325,2.27,2.495,2.03,1.55,3.44,2.495,308.0,0.0,-1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3,20
