Compounds(M1-M2-N),Overpotential(V),Cycling_performance,m1,m2
Mn-**-O,1.15,63,Mn,**
Mn-**-O,1.15,14,Mn,**
Ru-**-O,1.2,81,Ru,**
Co-**-O,1.2,64,Co,**
Ni-Co-O,1.15,90,Ni,Co
Co-**-O,1.1,90,Co,**
Ni-Co-O,1.08,220,Ni,Co
Cr-La-O,1.2,80,Cr,La
Ni-**-O,1.17,400,Ni,**
Mo-**-S,1.25,105,Mo,**
Cr-Pd-O,1.2,53,Cr,Pd
Fe-**-N,1.25,162,Fe,**
Ni-Fe-O,1.12,275,Ni,Fe
Co-Ni-O,0.85,250,Co,Ni
Ru-**-O,1.1,98,Ru,**
Ni-**-O,1.14,300,Ni,**
Mo-Mn-S,1.23,60,Mo,Mn
Mo-**-P,1.18,95,Mo,**
Ni-**-P,1.42,190,Ni,**
Co-**-N,0.98,120,Co,**
Co-Ni-S,1.3,230,Co,Ni
Ni-**-S,1.4,148,Ni,**
Co-**-S,1.5,90,Co,**
Co-**-O,1.1,140,Co,**
Co-**-O,1.15,89,Co,**
Ni-Co-O,1.08,140,Ni,Co
Co-Fe-N,1.04,325,Co,Fe
Ti-Co-O,1.25,118,Ti,Co
La-Ni-O,1.25,121,La,Ni
La-Fe-O,1.39,112,La,Fe
La-Fe-O,1.45,66,La,Fe
Ti-**-C,1.0,124,Ti,**
Ni-Fe-O,1.15,195,Ni,Fe
Fe-Mn-O,1.25,100,Fe,Mn
Co-**-N,1.04,126,Co,**
Mo-**-S,1.25,81,Mo,**
**-**-C,1.3,75,**,**
Ru-**-N,1.2,40,Ru,**
Cr-**-O,1.3,40,Cr,**
Co-**-O,1.2,350,Co,**
Co-Ni-O,0.8,850,Co,Ni
Co-Ni-O,0.83,594,Co,Ni
Co-Ru-O,0.96,440,Co,Ru
Co-**-O,1.18,300,Co,**
**-**-C,1.41,31,**,**
Co-Cu-O,1.1,146,Co,Cu
Ru-**-O,1.1,212,Ru,**
Co-Fe-O,0.89,150,Co,Fe
Co-Ru-O,0.998,387,Co,Ru
Co-Ni-O,0.94,135,Co,Ni
Co-**-N,1.15,180,Co,**
Mo-Fe-S,1.18,83,Mo,Fe
Mo-**-S,1.25,14,Mo,**
Ru-**-N,1.25,151,Ru,**
Co-**-O,1.24,80,Co,**
**-**-C,1.36,26,**,**
Co-Ni-P,1.3,73,Co,Ni
Co-Ni-S,1.35,57,Co,Ni
Co-Ni-P,1.3,150,Co,Ni
Co-Pt-O,0.86,220,Co,Pt
Co-Ni-O,0.77,148,Co,Ni
**-**-C,1.29,13,**,**
Ru-**-O,1.1,150,Ru,**
**-**-C,1.4,31,**,**
Ni-**-N,1.08,225,Ni,**
Ni-**-N,1.1,300,Ni,**
Ru-**-O,1.2,108,Ru,**
Fe-**-N,1.3,30,Fe,**
Co-Fe-O,1.01,93,Co,Fe
Fe-**-O,1.4,40,Fe,**
La-Fe-O,1.4,34,La,Fe
Fe-La-O,1.28,21,Fe,La
Fe-La-O,1.3,38,Fe,La
Co-Ru-O,0.94,245,Co,Ru
Mn-**-O,1.25,55,Mn,**
Co-Ru-N,0.95,272,Co,Ru
Co-**-N,1.0,100,Co,**
Fe-**-N,1.35,20,Fe,**
Cr-V-O,1.25,83,Cr,V
Ru-**-O,1.1,111,Ru,**
Ni-Co-P,1.3,242,Ni,Co
Co-**-P,1.45,196,Co,**
Mo-Ni-S,1.25,163,Mo,Ni
Ni-**-S,1.4,107,Ni,**
Ni-**-S,1.45,86,Ni,**
Co-Ni-F,1.2,155,Co,Ni
Fe-**-O,1.4,45,Fe,**
Co-**-P,1.38,154,Co,**
Mn-Co-O,1.2,126,Mn,Co
Ru-**-N,1.3,79,Ru,**
Mo-**-S,1.3,63,Mo,**
Mo-**-S,1.25,75,Mo,**
Mn-Mo-S,1.25,100,Mn,Mo
Co-Ru-N,0.95,220,Co,Ru
Cr-Ni-O,1.22,125,Cr,Ni
Cr-Ni-O,1.32,100,Cr,Ni
Co-Ni-O,0.84,133,Co,Ni
Ru-**-O,1.11,110,Ru,**
Ru-Co-N,1.05,298,Ru,Co
Ru-**-N,1.17,183,Ru,**
Pd-**-C,1.12,10,Pd,**
