Compounds(M1-M2-N),Overpotential(V),M1,M2,Category,Pred_Overpotential
Ti-Pt-C,1.1,Ti,Pt,Others,1.0362612417027406
Ni-Co-O,1.1,Ni,Co,Ni-Co,1.114995566489067
Ni-Co-O,1.15,Ni,Co,Ni-Co,1.114995566489067
Mn-**-O,1.29,Mn,**,Others,1.2050596644842086
Co-Fe-O,1.08,Co,Fe,Co,0.9851136075036055
Co-Mo-N,0.99,Co,Mo,Co,0.9774843890331902
Co-**-N,1.11,Co,**,Co,1.083715136918636
Co-Fe-N,1.0,Co,Fe,Co,1.0135683864357854
Co-**-O,1.15,Co,**,Co,1.1745134410335105
Co-Ni-O,1.04,Co,Ni,Co-Ni,0.9034826010723541
Ni-**-N,1.1,Ni,**,Ni,1.0751680165945143
Co-**-N,1.11,Co,**,Co,1.083715136918636
Bi-In-S,1.0,Bi,In,Others,0.9977719939393933
Pd-**-**,1.11,Pd,**,Others,1.0478338892284185
Ni-**-O,1.2,Ni,**,Ni,1.180037595654345
Se-Co-O,1.03,Se,Co,Co,1.0269480807832638
La-Co-O,1.38,La,Co,Co,1.3474321428130707
Co-Ni-O,1.06,Co,Ni,Co-Ni,0.9034826010723541
Ni-**-P,1.34,Ni,**,Ni,1.3902536222078548
Co-**-P,1.4,Co,**,Co,1.4139532708794469
Fe-**-N,1.3,Fe,**,Others,1.3036544719169716
Ru-**-N,1.25,Ru,**,Others,1.2410433798146316
Co-**-N,1.18,Co,**,Co,1.083715136918636
Co-Ni-N,0.98,Co,Ni,Co-Ni,0.9576760604230844
Ni-**-N,1.04,Ni,**,Ni,1.0751680165945143
La-Co-O,1.29,La,Co,Co,1.3474321428130707
Fe-La-O,1.41,Fe,La,Others,1.331693163253415
Sn-La-O,1.01,Sn,La,Others,1.0022610946608923
Ru-**-O,1.2,Ru,**,Others,1.149579201055309
Ru-**-O,1.25,Ru,**,Others,1.149579201055309
Ru-**-O,1.25,Ru,**,Others,1.149579201055309
Mn-**-O,1.17,Mn,**,Others,1.2050596644842086
Ni-**-N,1.05,Ni,**,Ni,1.0751680165945143
Co-**-P,1.35,Co,**,Co,1.4139532708794469
Co-**-P,1.5,Co,**,Co,1.4139532708794469
Co-**-P,1.4,Co,**,Co,1.4139532708794469
Fe-**-N,1.28,Fe,**,Others,1.3036544719169716
Ni-**-O,1.22,Ni,**,Ni,1.180037595654345
Co-**-O,1.23,Co,**,Co,1.1745134410335105
Fe-**-N,1.32,Fe,**,Others,1.3036544719169716
Se-Ni-O,1.09,Se,Ni,Ni,1.0320011026870588
Ru-**-O,1.05,Ru,**,Others,1.149579201055309
Ti-**-C,0.98,Ti,**,Others,1.033775765512264
Co-Mn-O,0.95,Co,Mn,Co,0.9705929307359275
Mn-**-O,1.2,Mn,**,Others,1.2050596644842086
Mn-**-O,1.25,Mn,**,Others,1.2050596644842086
La-Co-O,1.38,La,Co,Co,1.3474321428130707
Mn-**-O,1.15,Mn,**,Others,1.2050596644842086
Mn-**-O,1.15,Mn,**,Others,1.2050596644842086
Ru-**-O,1.2,Ru,**,Others,1.149579201055309
Co-**-O,1.2,Co,**,Co,1.1745134410335105
Ni-Co-O,1.15,Ni,Co,Ni-Co,1.114995566489067
Co-**-O,1.1,Co,**,Co,1.1745134410335105
Ni-Co-O,1.08,Ni,Co,Ni-Co,1.114995566489067
Cr-La-O,1.2,Cr,La,Others,1.221196768398269
Ni-**-O,1.17,Ni,**,Ni,1.180037595654345
Mo-**-S,1.25,Mo,**,Others,1.2573672808580296
Cr-Pd-O,1.2,Cr,Pd,Others,1.2272335685425688
Fe-**-N,1.25,Fe,**,Others,1.3036544719169716
Ni-Fe-O,1.12,Ni,Fe,Ni,1.13645103246753
Co-Ni-O,0.85,Co,Ni,Co-Ni,0.9034826010723541
Ru-**-O,1.1,Ru,**,Others,1.149579201055309
Ni-**-O,1.14,Ni,**,Ni,1.180037595654345
Mo-Mn-S,1.23,Mo,Mn,Others,1.2282367857142884
Mo-**-P,1.18,Mo,**,Others,1.2034440270840256
Ni-**-P,1.42,Ni,**,Ni,1.3902536222078548
Co-**-N,0.98,Co,**,Co,1.083715136918636
Co-Ni-S,1.3,Co,Ni,Co-Ni,1.304782685425684
Ni-**-S,1.4,Ni,**,Ni,1.425163486249043
Co-**-S,1.5,Co,**,Co,1.4306369852500425
Co-**-O,1.1,Co,**,Co,1.1745134410335105
Co-**-O,1.15,Co,**,Co,1.1745134410335105
Ni-Co-O,1.08,Ni,Co,Ni-Co,1.114995566489067
Co-Fe-N,1.04,Co,Fe,Co,1.0135683864357854
Ti-Co-O,1.25,Ti,Co,Co,1.2444963903318902
La-Ni-O,1.25,La,Ni,Ni,1.3107197085137094
La-Fe-O,1.39,La,Fe,Others,1.4107095999409052
La-Fe-O,1.45,La,Fe,Others,1.4107095999409052
Ti-**-C,1.0,Ti,**,Others,1.033775765512264
Ni-Fe-O,1.15,Ni,Fe,Ni,1.13645103246753
Fe-Mn-O,1.25,Fe,Mn,Others,1.2703842287157288
Co-**-N,1.04,Co,**,Co,1.083715136918636
Mo-**-S,1.25,Mo,**,Others,1.2573672808580296
**-**-C,1.3,**,**,Others,1.3525103046953058
Ru-**-N,1.2,Ru,**,Others,1.2410433798146316
Cr-**-O,1.3,Cr,**,Others,1.2546076316542916
Co-**-O,1.2,Co,**,Co,1.1745134410335105
Co-Ni-O,0.8,Co,Ni,Co-Ni,0.9034826010723541
Co-Ni-O,0.83,Co,Ni,Co-Ni,0.9034826010723541
Co-Ru-O,0.96,Co,Ru,Co,0.93325044628818
Co-**-O,1.18,Co,**,Co,1.1745134410335105
**-**-C,1.41,**,**,Others,1.3525103046953058
Co-Cu-O,1.1,Co,Cu,Co,1.0757501784992802
Ru-**-O,1.1,Ru,**,Others,1.149579201055309
Co-Fe-O,0.89,Co,Fe,Co,0.9851136075036055
Co-Ru-O,0.998,Co,Ru,Co,0.93325044628818
Co-Ni-O,0.94,Co,Ni,Co-Ni,0.9034826010723541
Co-**-N,1.15,Co,**,Co,1.083715136918636
Mo-Fe-S,1.18,Mo,Fe,Others,1.2121119527417037
Mo-**-S,1.25,Mo,**,Others,1.2573672808580296
Ru-**-N,1.25,Ru,**,Others,1.2410433798146316
Co-**-O,1.24,Co,**,Co,1.1745134410335105
**-**-C,1.36,**,**,Others,1.3525103046953058
Co-Ni-P,1.3,Co,Ni,Co-Ni,1.2996877222222196
Co-Ni-S,1.35,Co,Ni,Co-Ni,1.304782685425684
Co-Ni-P,1.3,Co,Ni,Co-Ni,1.2996877222222196
Co-Pt-O,0.86,Co,Pt,Co,0.8869279113650246
Co-Ni-O,0.77,Co,Ni,Co-Ni,0.9034826010723541
**-**-C,1.29,**,**,Others,1.3525103046953058
Ru-**-O,1.1,Ru,**,Others,1.149579201055309
**-**-C,1.4,**,**,Others,1.3525103046953058
Ni-**-N,1.08,Ni,**,Ni,1.0751680165945143
Ni-**-N,1.1,Ni,**,Ni,1.0751680165945143
Ru-**-O,1.2,Ru,**,Others,1.149579201055309
Fe-**-N,1.3,Fe,**,Others,1.3036544719169716
Co-Fe-O,1.01,Co,Fe,Co,0.9851136075036055
Fe-**-O,1.4,Fe,**,Others,1.4306638862101926
La-Fe-O,1.4,La,Fe,Others,1.4107095999409052
Fe-La-O,1.28,Fe,La,Others,1.331693163253415
Fe-La-O,1.3,Fe,La,Others,1.331693163253415
Co-Ru-O,0.94,Co,Ru,Co,0.93325044628818
Mn-**-O,1.25,Mn,**,Others,1.2050596644842086
Co-Ru-N,0.95,Co,Ru,Co,0.9554146034632001
Co-**-N,1.0,Co,**,Co,1.083715136918636
Fe-**-N,1.35,Fe,**,Others,1.3036544719169716
Cr-V-O,1.25,Cr,V,Others,1.2469787049062044
Ru-**-O,1.1,Ru,**,Others,1.149579201055309
Ni-Co-P,1.3,Ni,Co,Ni-Co,1.2943251998556984
Co-**-P,1.45,Co,**,Co,1.4139532708794469
Mo-Ni-S,1.25,Mo,Ni,Ni,1.2509249617882119
Ni-**-S,1.4,Ni,**,Ni,1.425163486249043
Ni-**-S,1.45,Ni,**,Ni,1.425163486249043
Co-Ni-F,1.2,Co,Ni,Co-Ni,1.1466332031829185
Fe-**-O,1.4,Fe,**,Others,1.4306638862101926
Co-**-P,1.38,Co,**,Co,1.4139532708794469
Mn-Co-O,1.2,Mn,Co,Co,1.265540696481622
Ru-**-N,1.3,Ru,**,Others,1.2410433798146316
Mo-**-S,1.3,Mo,**,Others,1.2573672808580296
Mo-**-S,1.25,Mo,**,Others,1.2573672808580296
Mn-Mo-S,1.25,Mn,Mo,Others,1.2461819100899096
Co-Ru-N,0.95,Co,Ru,Co,0.9554146034632001
Cr-Ni-O,1.22,Cr,Ni,Ni,1.2716588268398283
Cr-Ni-O,1.32,Cr,Ni,Ni,1.2716588268398283
Co-Ni-O,0.84,Co,Ni,Co-Ni,0.9034826010723541
Ru-**-O,1.11,Ru,**,Others,1.149579201055309
Ru-Co-N,1.05,Ru,Co,Co,1.0853403015873022
Ru-**-N,1.17,Ru,**,Others,1.2410433798146316
Pd-**-C,1.12,Pd,**,Others,1.106192632006884
